ra_deg,dec_deg,vmag
230.67,-44.689,3.37
28.599,63.67,3.38
131.694,6.419,3.38
193.901,3.397,3.38
46.294,38.84,3.39
67.165,15.871,3.4
154.271,-61.332,3.4
340.365,10.831,3.4
22.091,-43.318,3.41
28.27,29.579,3.41
207.376,-41.688,3.41
228.071,-52.099,3.41
240.03,-38.397,3.41
266.615,27.721,3.42
311.24,-66.203,3.42
311.322,61.839,3.43
12.275,57.816,3.44
137.742,-58.967,3.44
154.173,23.417,3.44
286.562,-4.883,3.44
17.148,-10.182,3.45
154.274,42.914,3.45
282.52,33.363,3.45
40.825,3.236,3.47
60.17,12.49,3.47
105.43,-27.935,3.47
119.195,-52.982,3.47
228.876,33.315,3.47
299.689,19.492,3.47
169.62,33.094,3.48
258.662,14.39,3.48
342.501,24.602,3.48
342.139,-51.317,3.49
26.017,-15.938,3.5
225.487,40.391,3.5
276.743,-45.968,3.51
284.432,-21.107,3.51
124.129,9.186,3.52
145.287,9.892,3.52
151.833,16.763,3.52
342.42,66.201,3.52
67.154,19.18,3.53
110.031,21.982,3.53
237.405,-3.43,3.53
250.724,38.922,3.53
332.55,6.198,3.53
55.812,-9.763,3.54
83.785,9.934,3.54
149.216,-54.568,3.54
173.25,-31.858,3.54
264.397,-15.399,3.54
86.739,-14.822,3.55
214.851,-46.058,3.55
4.857,-8.824,3.56
34.128,-51.512,3.56
64.474,-33.798,3.56
169.835,-14.779,3.56
230.452,-36.261,3.56
302.182,-66.182,3.56
24.498,48.628,3.57
116.112,24.398,3.57
253.084,-38.017,3.57
275.264,72.733,3.57
304.514,-12.545,3.57
109.523,16.54,3.58
217.958,30.371,3.58
234.256,-28.135,3.58
185.34,-60.401,3.59
21.006,-8.183,3.6
51.203,9.029,3.6
79.402,-6.844,3.6
86.116,-22.448,3.6
103.197,33.961,3.6
135.906,47.157,3.6
142.675,-40.467,3.6
116.314,-37.969,3.61
152.647,-12.354,3.61
177.674,1.765,3.61
22.871,15.346,3.62
130.073,-52.922,3.62
195.567,-71.549,3.62
253.646,-42.361,3.62
262.775,-60.684,3.62
266.433,-64.724,3.62
345.48,42.326,3.62
42.496,27.261,3.63
57.29,24.053,3.63
309.387,14.595,3.63
176.402,-66.729,3.64
64.948,15.628,3.65
190.415,-1.449,3.65
211.097,64.376,3.65
313.702,-58.454,3.65
9.243,53.897,3.66
234.664,-29.778,3.66
271.658,-50.092,3.66
347.362,-21.172,3.66
142.882,63.062,3.67
236.547,15.422,3.67
130.898,-33.186,3.68
190.415,-1.449,3.68
231.957,29.106,3.68
325.023,-16.662,3.68
49.879,-21.758,3.69
72.802,5.605,3.69
146.312,-62.508,3.69
349.291,3.282,3.69
28.99,-51.609,3.7
56.219,24.113,3.7
269.441,29.248,3.7
89.101,-14.168,3.71
176.512,47.779,3.71
237.704,4.478,3.71
298.828,6.407,3.71
73.563,2.441,3.72
89.882,54.285,3.72
221.562,1.893,3.72
316.233,43.928,3.72
318.698,38.046,3.72
27.865,-10.335,3.73
53.232,-9.458,3.73
118.054,-40.576,3.73
271.837,9.564,3.73
51.793,9.733,3.74
321.667,-22.411,3.74
343.154,-7.58,3.74
75.62,41.076,3.75
136.039,-47.098,3.75
245.48,19.153,3.75
266.973,2.707,3.75
268.382,56.873,3.75
337.293,58.415,3.75
42.674,55.896,3.76
65.734,17.543,3.76
83.406,-62.49,3.76
252.446,-59.041,3.76
325.369,-77.39,3.76
331.753,25.345,3.76
56.298,42.579,3.77
126.434,-66.137,3.77
286.171,-21.742,3.77
289.276,53.369,3.77
309.91,15.912,3.77
311.919,-9.496,3.77
337.823,50.282,3.77
107.187,-70.499,3.78
163.373,-58.853,3.78
106.027,20.57,3.79
111.432,27.798,3.79
292.426,51.73,3.79
303.408,46.741,3.79
47.374,44.857,3.8
147.748,59.039,3.8
154.994,19.841,3.8
233.7,10.537,3.8
233.7,10.539,3.8
264.866,46.006,3.8
84.687,-2.6,3.81
87.83,-20.879,3.81
156.523,-16.836,3.81
68.887,-30.562,3.82
139.711,36.802,3.82
156.97,-58.739,3.82
247.728,1.984,3.82
296.847,18.534,3.82
354.391,46.458,3.82
56.08,32.288,3.83
163.328,34.215,3.83
209.568,-42.101,3.83
221.965,-79.045,3.83
271.886,28.762,3.83
297.043,70.268,3.83
67.144,15.962,3.84
130.157,-46.649,3.84
133.762,-60.645,3.84
159.325,-48.226,3.84
172.851,69.331,3.84
235.686,26.296,3.84
275.925,21.77,3.84
335.414,-1.387,3.84
56.05,-64.807,3.85
86.821,-51.066,3.85
95.528,-33.436,3.85
108.703,-26.773,3.85
153.684,-42.122,3.85
158.203,9.307,3.85
239.113,15.662,3.85
243.86,-63.686,3.85
278.802,-8.244,3.85
63.5,-42.294,3.86
189.426,-48.541,3.86
269.063,37.251,3.86
273.441,-21.059,3.86
14.188,38.499,3.87
48.018,-28.987,3.87
56.457,24.368,3.87
69.545,-14.304,3.87
82.803,-35.471,3.87
103.533,-24.184,3.87
188.117,-72.133,3.87
188.371,69.788,3.87
209.67,-44.804,3.87
227.984,-48.738,3.87
2.353,-45.748,3.88
138.591,2.314,3.88
148.191,26.007,3.88
202.761,-39.407,3.88
220.765,-5.658,3.88
239.221,-29.214,3.88
44.107,-8.898,3.89
170.252,-54.491,3.89
184.977,-0.667,3.89
244.935,46.313,3.89
248.363,-78.897,3.89
299.077,35.083,3.89
126.415,-3.906,3.9
298.118,1.006,3.9
347.59,-45.247,3.9
60.789,5.989,3.91
131.507,-46.042,3.91
144.964,-1.143,3.91
167.147,-58.975,3.91
187.01,-50.231,3.91
233.882,-14.789,3.91
17.096,-55.246,3.92
255.073,30.926,3.92
318.956,5.248,3.92
69.08,-3.353,3.93
115.312,-9.551,3.93
290.418,-17.847,3.93
6.551,-43.68,3.94
131.171,18.154,3.94
170.981,10.529,3.94
314.293,41.167,3.94
22.813,-49.073,3.95
43.565,52.763,3.95
99.171,-19.256,3.95
115.455,-72.606,3.95
200.985,54.922,3.95
237.74,-33.627,3.95
341.633,23.566,3.95
66.009,-34.017,3.96
89.787,-42.815,3.96
102.46,-32.509,3.96
115.952,-28.955,3.96
182.913,-52.369,3.96
241.702,-20.669,3.96
300.148,-72.911,3.96
87.873,39.149,3.97
130.026,-35.308,3.97
135.16,41.783,3.97
137.819,-62.317,3.97
270.161,2.932,3.97
290.972,-40.616,3.97
337.317,-43.496,3.97
350.743,-20.101,3.97
30.859,72.421,3.98
93.714,-6.275,3.98
109.207,-67.957,3.98
303.868,47.714,3.98
349.358,-58.236,3.99
30.001,-21.078,4.0
43.47,-49.89,4.0
135.612,-66.396,4.0
156.099,-74.032,4.0
220.49,-37.794,4.0
